schema,id,field,label,shortlabel,url
rioxx,free_to_read,ali:free_to_read,Free to read,,
rioxx,license_ref,ali:license_ref,License Ref,,
rioxx,coverage,dc:coverage,Coverage,,
rioxx,description,dc:description,Description,,
rioxx,format,dc:format,Format,,
rioxx,identifier,dc:identifier,Identifier,,
rioxx,language,dc:language,Language,,
rioxx,publisher,dc:publisher,Publisher,,
rioxx,relation,dc:relation,Relation,,
rioxx,source,dc:source,Source,,
rioxx,subject,dc:subject,Subject,,
rioxx,title,dc:title,Title,,
rioxx,date_accepted,dcterms:dateAccepted,Date Accepted,,
rioxx,apc,rioxxterms:apc,APC,,
rioxx,author,rioxxterms:author,Author,,
rioxx,contributor,rioxxterms:contributor,Contributor,,
rioxx,project,rioxxterms:project,Project,,
rioxx,publication_date,rioxxterms:publication_date,Publication Date,,
rioxx,type,rioxxterms:type,Type,,
rioxx,version,rioxxterms:version,Version,,
rioxx,version_of_record,rioxxterms:version_of_record,Version of Record,,
openaire,title,dc:title,Title,,https://guidelines.openaire.eu/en/latest/literature/field_title.html
openaire,creator,dc:creator,Creator,,https://guidelines.openaire.eu/en/latest/literature/field_creator.html
openaire,project_identifier,dc:relation,Project Identifier,,https://guidelines.openaire.eu/en/latest/literature/field_projectid.html
openaire,access_level,dc:rights,Access Level,,https://guidelines.openaire.eu/en/latest/literature/field_accesslevel.html
openaire,license_condition,dc:rights,License Condition,,https://guidelines.openaire.eu/en/latest/literature/field_licensecondition.html
openaire,embargo_end_date,dc:date,Embargo End Date,,https://guidelines.openaire.eu/en/latest/literature/field_embargoenddate.html
openaire,alternative_identifier,dc:relation,Alternative Identifier,,https://guidelines.openaire.eu/en/latest/literature/field_alternativeidentifier.html
openaire,publication_reference,dc:relation,Publication Reference,,https://guidelines.openaire.eu/en/latest/literature/field_publicationreference.html
openaire,dataset_reference,dc:relation,Dataset Reference,,https://guidelines.openaire.eu/en/latest/literature/field_datasetreference.html
openaire,subject,dc:subject,Subject,,https://guidelines.openaire.eu/en/latest/literature/field_subject.html
openaire,description,dc:description,Description,,https://guidelines.openaire.eu/en/latest/literature/field_description.html
openaire,publisher,dc:publisher,Publisher,,https://guidelines.openaire.eu/en/latest/literature/field_publisher.html
openaire,contributor,dc:contributor,Contributor,,https://guidelines.openaire.eu/en/latest/literature/field_contributor.html
openaire,publication_date,dc:date,Publication Date,,https://guidelines.openaire.eu/en/latest/literature/field_publicationdate.html
openaire,publication_type,dc:type,Publication Type,,https://guidelines.openaire.eu/en/latest/literature/field_publicationtype.html
openaire,publication_version,dc:type,Publication Version,,https://guidelines.openaire.eu/en/latest/literature/field_publicationversion.html
openaire,format,dc:format,Format,,https://guidelines.openaire.eu/en/latest/literature/field_format.html
openaire,resource_identifier,dc:identifier,Resource Identifier,,https://guidelines.openaire.eu/en/latest/literature/field_resourceidentifier.html
openaire,source,dc:source,Source,,https://guidelines.openaire.eu/en/latest/literature/field_source.html
openaire,language,dc:language,Language,,https://guidelines.openaire.eu/en/latest/literature/field_language.html
openaire,relation,dc:relation,Relation,,https://guidelines.openaire.eu/en/latest/literature/field_relation.html
openaire,coverage,dc:coverage,Coverage,,https://guidelines.openaire.eu/en/latest/literature/field_coverage.html
openaire,audience,dc:audience,Audience,,https://guidelines.openaire.eu/en/latest/literature/field_audience.html
casrai,app_date,,Internal OA Cost Application/Date,Application Date,http://dictionary.casrai.org/Internal_OA_Cost_Application/Date
casrai,app_author_name,,Internal OA Cost Application/Author Name,Author Name,http://dictionary.casrai.org/Internal_OA_Cost_Application/Author_Name
casrai,app_author_id_type,,Internal OA Cost Application/Author ID Type,Author ID Type,http://dictionary.casrai.org/Internal_OA_Cost_Application/Author_ID_Type
casrai,app_author_id,,Internal OA Cost Application/Author ID,Author ID,http://dictionary.casrai.org/Internal_OA_Cost_Application/Author_ID
casrai,app_author_organisational_unit,,Internal OA Cost Application/Author Organisational Unit,Author Organisational Unit,http://dictionary.casrai.org/Internal_OA_Cost_Application/Author_Organisational_Unit
casrai,app_estimated_charge,,Internal OA Cost Application/Estimated Charge,Estimated Charge,http://dictionary.casrai.org/Internal_OA_Cost_Application/Estimated_Charge
casrai,app_currency,,Internal OA Cost Application/Currency,Currency,http://dictionary.casrai.org/Internal_OA_Cost_Application/Currency
casrai,app_external_notes,,Internal OA Cost Application/External Notes,External Notes,http://dictionary.casrai.org/Internal_OA_Cost_Application/External_Notes
casrai,ja_pmc_id,,Journal Article/PMC ID,PMC ID,http://dictionary.casrai.org/Journal_Article/PMC_ID
casrai,ja_doi,,Journal Article/DOI,DOI,http://dictionary.casrai.org/Journal_Article/DOI
casrai,ja_issn,,Journal Article/ISSN,ISSN,http://dictionary.casrai.org/Journal_Article/ISSN
casrai,ja_publisher_name,,Journal Article/Publisher Name,Publisher Name,http://dictionary.casrai.org/Journal_Article/Publisher_Name
casrai,ja_publisher_id_type,,Journal Article/Publisher ID Type,Publisher ID Type,http://dictionary.casrai.org/Journal_Article/Publisher_ID_Type
