from_schema,from_field,to_schema,to_field,note,from_example_1,to_example_1,from_example_2,to_example_2,from_example_3,to_example_3,from_example_4,to_example_4
rioxx,free_to_read,openaire,access_level,"Open Access can be inferred from the <span class=""schema-element schema-element-rioxx"">Free to Read</span> element (if the resource is not Open Access it is not possible to determine the specific access level from <span class=""schema-element schema-element-rioxx"">Free to Read</span> alone).","<ali:free_to_read>
","<dc:rights>
    info:eu-repo/semantics/openAccess
</dc:rights>","<ali:free_to_read start_date=""2013-03-28"">","<dc:rights>
    info:eu-repo/semantics/openAccess
</dc:rights>","<ali:free_to_read start_date=""2013-03-28"" end_date=""2014-04-30"">
",No mapping,No free_to_read element,No mapping
rioxx,free_to_read,hefce,free_to_read,,,,,,,,,
rioxx,license_ref,openaire,license_condition,,,,,,,,,
rioxx,license_ref,casrai,apc_licence_type,"Use pattern matching to identify Creative Commons licenses and map them to the appropriate casrai:apc_license_type.

See [casrai:apc_license_type dictionary](http://dictionary.casrai.org/Licence_Types)
","<ali:license_ref>
    http://creativecommons.org/licenses/by/4.0
</ali:license_ref>
","APC_Payment/Licence_Type: Licence Types/CC BY
",,,,,,
rioxx,license_ref,hefce,license_ref,,,,,,,,,
rioxx,coverage,openaire,coverage,,,,,,,,,
rioxx,description,openaire,description,,,,,,,,,
rioxx,format,openaire,format,,,,,,,,,
rioxx,identifier,openaire,resource_identifier,,,,,,,,,
rioxx,language,openaire,language,,,,,,,,,
rioxx,publisher,openaire,publisher,,,,,,,,,
rioxx,publisher,casrai,ja_publisher_name,,,,,,,,,
rioxx,relation,openaire,relation,,,,,,,,,
rioxx,source,openaire,source,,,,,,,,,
rioxx,subject,openaire,subject,,,,,,,,,
rioxx,title,openaire,title,,,,,,,,,
rioxx,title,casrai,ja_article_title,,,,,,,,,
rioxx,date_accepted,casrai,ja_final_acceptance_date,,,,,,,,,
rioxx,date_accepted,hefce,acceptance_date,,,,,,,,,
rioxx,apc,casrai,apc_payment_adjustments,"Map <span class=""schema-element schema-element-rioxx"">APC</span> to a suitable string. ","<rioxxterms:apc>
    partially waived
</rioxxterms:apc>","APC_Payment/Payment_Adjustments: Partially waived by publisher
",,,,,,
rioxx,author,openaire,creator,"Extract the author name from the <span class=""schema-element schema-element-rioxx"">Author ID</span> element.","<rioxxterms:author id=""http://orcid.org/0000-0002-1395-3092"">
    Lawson, Gerald
</rioxxterms:author>
","<dc:creator>
    Lawson, Gerald
</dc:creator>",,,,,,
rioxx,author,casrai,app_author_name,"Extract the author name from the <span class=""schema-element schema-element-rioxx"">Author ID</span> element.","<rioxxterms:author id=""http://orcid.org/0000-0002-1395-3092"">
    Lawson, Gerald
</rioxxterms:author>
","Internal_OA_Cost_Application/Author_Name: Lawson, Gerald
",,,,,,
rioxx,author,casrai,app_author_id_type,"Use pattern matching to recognise an ORCID or ISNI in the <span class=""schema-element schema-element-rioxx"">Author</span> element.","<rioxxterms:author id=""http://orcid.org/0000-0002-1395-3092"">
    Lawson, Gerald
</rioxxterms:author>
","Internal_OA_Cost_Application/Author_ID_Type: Person ID Types/ORCID
",,,,,,
rioxx,author,casrai,app_author_id,"Extract the ``author_id`` from the <span class=""schema-element schema-element-rioxx"">Author ID</span> element.","<rioxxterms:author id=""http://orcid.org/0000-0002-1395-3092"">
    Lawson, Gerald
</rioxxterms:author>
","Internal_OA_Cost_Application/Author_ID: http://orcid.org/0000-0002-1395-3092
",,,,,,
rioxx,contributor,openaire,contributor,,,,,,,,,
rioxx,project,openaire,project_identifier,"Extract the ```funder_name``` and project ID from the <span class=""schema-element schema-element-rioxx"">project</span> element to create a partial ```info:eu-repo/grantAgreement``` identifier. Use the [OpenAire list of projects](http://api.openaire.eu/oai_pmh?verb=ListRecords&set=projects&metadataPrefix=oaf) to verify the project details.","<rioxxterms:project
    funder_name=""Engineering and Physical Sciences Research Council""
    funder_id=""http://isni.org/isni/0000000403948681""
>
    EP/K023195/1
</rioxxterms:project>
","<dc:relation>
    info:eu-repo/grantAgreement/EPSRC//EP%2FK023195%2F1///
</dc:relation>",,,,,,
rioxx,project,casrai,apc_source_grants,"Extract the project ID from the <span class=""schema-element schema-element-rioxx"">Project</span> value.","<rioxxterms:project
    funder_name=""Engineering and Physical Sciences Research Council""
    funder_id=""http://isni.org/isni/0000000403948681""
>
    EP/K023195/1
</rioxxterms:project>","APC_Payment/Source_Grant(s): EP/K023195/1
",,,,,,
rioxx,publication_date,openaire,publication_date,,,,,,,,,
rioxx,publication_date,casrai,ja_publication_date,,,,,,,,,
rioxx,publication_date,hefce,publication_date,,,,,,,,,
rioxx,type,openaire,publication_type,,,,,,,,,
rioxx,type,hefce,output_type,,,,,,,,,
rioxx,version,openaire,publication_version,"Map <span class=""schema-element schema-element-rioxx"">Version</span> to the appropriate version identifier:

 <span class=""schema-element schema-element-rioxx"">Version</span> | <span class=""schema-element schema-element-openaire"">Publication Version</span>
----------|--------------------
 `AO`     | `draft`
 `SMUR`   | `submittedVersion`
 `AM`     | `acceptedVersion`
 `P`      | _no mapping_
 `VoR`    | `publishedVersion`
 `CVoR`   | `updatedVersion`
 `EVoR`   | `updatedVersion`
 `NA`     | _no mapping_","<rioxxterms:version>
    AM
</rioxxterms:version>","<dc:type>
    info:eu-repo/semantics/acceptedVersion
</dc:type>`",,,,,,
rioxx,version,hefce,version_of_deposited_file,,,,,,,,,
rioxx,version_of_record,openaire,resource_identifier,,,,,,,,,
rioxx,version_of_record,casrai,ja_doi,"Use pattern matching to determine if the <span class=""schema-element schema-element-rioxx"">Version of Record</span> is a DOI.","<rioxxterms:version_of_record>
    http://dx.doi.org/10.1006/jmbi.1995.0238
</rioxxterms:version_of_record>
",Journal_Article/DOI: http://dx.doi.org/10.1006/jmbi.1995.0238,,,,,,
openaire,title,rioxx,title,,,,,,,,,
openaire,title,casrai,ja_article_title,,,,,,,,,
openaire,creator,rioxx,author,,,,,,,,,
openaire,creator,casrai,app_author_name,,,,,,,,,
openaire,creator,casrai,app_author_id_type,,,,,,,,,
openaire,creator,casrai,app_author_id,,,,,,,,,
openaire,project_identifier,rioxx,project,"Extract the ```Funder``` and ```ProjectID``` parts from the <span class=""schema-element schema-element-openaire"">Project Identifier</span> URI.","<dc:relation>
    info:eu-repo/grantAgreement/ARC/Future Fellowships/FT120100464
</dc:relation>","<rioxxterms:project funder_name=""ARC"">
   FT120100464 
</rioxxterms:project>",,,,,,
openaire,project_identifier,casrai,apc_source_grants,"Extract the ```ProjectID``` part from the <span class=""schema-element schema-element-openaire"">Project Identifier</span> URI.","<dc:relation>
    info:eu-repo/grantAgreement/ARC/Future Fellowships/FT120100464
</dc:relation>",APC_Payment/Source_Grant(s): FT120100464,,,,,,
openaire,access_level,rioxx,free_to_read,"If the <span class=""schema-element schema-element-openaire"">Access Level</span> is ```openAccess```, create an <span class=""schema-element schema-element-hefce"">Free to Read</span> element.","<dc:rights>
   info:eu-repo/semantics/openAccess
</dc:rights>","<ali:free_to_read>
",,,,,,
openaire,access_level,hefce,free_to_read,"If the <span class=""schema-element schema-element-openaire"">Access Level</span> is ```openAccess```, create an <span class=""schema-element schema-element-hefce"">Free to Read</span> element.","<dc:rights>
   info:eu-repo/semantics/openAccess
</dc:rights>","<ali:free_to_read>
",,,,,,
openaire,license_condition,rioxx,license_ref,"Look for HTTP URIs in the <span class=""schema-element schema-element-openaire"">License Condition</span> element.

_Note that a ```start_date``` must be included - in the absence of any other data use the date the mapping took place._","<dc:rights>
    http://creativecommons.org/licenses/by-sa/2.0/uk/
</dc:rights>","<ali:license_ref start_date=""2015-02-17"">
    http://creativecommons.org/licenses/by-sa/2.0/uk/
</ali:license_ref>","<dc:rights>
    cc-by-sa, Andrew Smith
</dc:rights>","<ali:license_ref start_date=""2015-02-17"">
    http://creativecommons.org/licenses/by-sa/4.0<
/ali:license_ref>",,,,
